{58}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{59}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{60}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{61}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{62}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{63}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{64}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{65}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{66}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{67}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{68}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
{69}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[663],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[664],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[665],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[666],[1],[40],[1]}|{[105;106;107;108;109;110;92;93;94;96;97;98;99],[667],[1],[40],[1]}
